model,lab,statistic_renamed,p-value_renamed,statistic_interfered,p-value_interfered
llama-4-scout,lab01,5.625,0.017706065807366597,0.21052631578947367,0.6463551955394902
llama-4-scout,lab02,8.258064516129032,0.004057136032371292,4.761904761904762,0.029096331741252236
llama-4-scout,lab03,4.9655172413793105,0.025857580463442935,0.05,0.8230632737581214
qwen3-1.7b,lab01,0.78125,0.3767591178115821,0.0,1.0
qwen3-1.7b,lab02,0.03125,0.8596837951986661,1.565217391304348,0.21090292605660677
qwen3-1.7b,lab03,0.8928571428571429,0.3447042220069577,0.0,1.0
qwen3-30b-a3b,lab01,0.0,1.0,2.1176470588235294,0.1456100953968629
qwen3-30b-a3b,lab02,0.045454545454545456,0.8311704095417624,4.923076923076923,0.026500280602491884
qwen3-30b-a3b,lab03,0.17391304347826086,0.6766573217164242,0.5625,0.4532547047537363
qwen3-32b,lab01,5.041666666666667,0.024744672046398953,1.2307692307692308,0.2672574931543847
qwen3-32b,lab02,1.8846153846153846,0.1698105050855175,0.5625,0.4532547047537363
qwen3-32b,lab03,4.0,0.045500263896358445,0.36363636363636365,0.5464935954065822
qwen3-8b,lab01,1.1363636363636365,0.2864220227778557,0.0,1.0
qwen3-8b,lab02,0.0,1.0,0.17391304347826086,0.6766573217164242
qwen3-8b,lab03,0.0,1.0,1.894736842105263,0.1686686188878111
