model,set,lab,sample,response,result
gpt-4.1,test,lab01,29,"    return [s for s in strings if s.startswith(prefix)]
",Pass
gpt-4.1,test,lab01,30,    return [x for x in l if x > 0],Pass
gpt-4.1,test,lab01,31,"    if n <= 1:
        return False
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    i = 3
    while i * i <= n:
        if n % i == 0:
            return False
        i += 2
    return True
",Pass
gpt-4.1,test,lab01,32,"    if len(xs) % 2 != 0 or all(c == 0 for c in xs):
        raise ValueError(""Input list must have even degree and a nonzero leading coefficient."")
    def f(x): return poly(xs, x)
    a, b = -1e3, 1e3
    fa, fb = f(a), f(b)
    if fa * fb > 0:
        # Try to find interval where sign changes
        for shift in range(1, 2001):
            a, b = -shift, shift
            fa, fb = f(a), f(b)
            if fa * fb <= 0:
                break
        else:
            raise ValueError(""No root detected in search interval."")
    for _ in range(100):
        c = (a + b) / 2
        fc = f(c)
        if abs(fc) < 1e-10:
            return c
        if fa * fc < 0:
            b, fb = c, fc
        else:
            a, fa = c, fc
    return (a + b) / 2",Pass
gpt-4.1,test,lab01,33,"    idxs = [i for i in range(len(l)) if i % 3 == 0]
    sorted_vals = sorted([l[i] for i in idxs])
    res = l[:]
    for j, i in enumerate(idxs):
        res[i] = sorted_vals[j]
    return res",Pass
gpt-4.1,test,lab01,34,    return sorted(set(l)),Pass
gpt-4.1,test,lab01,35,"    if not l:
        raise ValueError(""max_element() arg is an empty list"")
    max_val = l[0]
    for item in l[1:]:
        if item > max_val:
            max_val = item
    return max_val",Pass
gpt-4.1,test,lab01,36,"    count = 0
    for i in range(n):
        if i % 11 == 0 or i % 13 == 0:
            count += str(i).count('7')
    return count
",Pass
gpt-4.1,test,lab01,37,"    even_indices = range(0, len(l), 2)
    even_values = [l[i] for i in even_indices]
    even_values_sorted = sorted(even_values)
    res = l[:]  # make a copy of l
    for idx, sorted_val in zip(even_indices, even_values_sorted):
        res[idx] = sorted_val
    return res",Pass
gpt-4.1,test,lab01,38,"    groups = [s[(3 * i):min((3 * i + 3), len(s))] for i in range((len(s) + 2) // 3)]
    # For each group of 3, last char moves to the front (inverse of encoding)
    groups = [(group[-1] + group[:-1]) if len(group) == 3 else group for group in groups]
    return """".join(groups)
",Pass
gpt-4.1,test,lab01,39,"    def is_prime(k):
        if k < 2:
            return False
        if k == 2:
            return True
        if k % 2 == 0:
            return False
        i = 3
        while i * i <= k:
            if k % i == 0:
                return False
            i += 2
        return True

    fib1, fib2 = 1, 2
    count = 0
    while True:
        if is_prime(fib2):
            count += 1
            if count == n:
                return fib2
        fib1, fib2 = fib2, fib1 + fib2
",Pass
gpt-4.1,test,lab01,40,"    n = len(l)
    for i in range(n):
        for j in range(i+1, n):
            for k in range(j+1, n):
                if l[i] + l[j] + l[k] == 0:
                    return True
    return False
",Pass
gpt-4.1,test,lab01,41,"```python
    # Each left-to-right car will ""collide"" with every right-to-left car
    return n * n
```",Pass
gpt-4.1,test,lab01,42,    return [x + 1 for x in l],Pass
gpt-4.1,test,lab01,43,"    seen = set()
    for num in l:
        if -num in seen:
            if num != 0 or l.count(0) > 1:
                return True
        seen.add(num)
    return False
",Pass
gpt-4.1,test,lab01,44,"    if x == 0:
        return '0'
    digits = []
    while x > 0:
        digits.append(str(x % base))
        x //= base
    return ''.join(reversed(digits))
",Pass
gpt-4.1,test,lab01,45,    return 0.5 * a * h,Pass
gpt-4.1,test,lab01,46,"    if n == 0:
        return 0
    if n == 1:
        return 0
    if n == 2:
        return 2
    if n == 3:
        return 0

    a, b, c, d = 0, 0, 2, 0  # fib4(0), fib4(1), fib4(2), fib4(3)
    for i in range(4, n + 1):
        next_val = a + b + c + d
        a, b, c, d = b, c, d, next_val
    return d
",Pass
gpt-4.1,test,lab01,47,"    if not l:
        raise ValueError(""median() arg is an empty list"")
    s = sorted(l)
    n = len(s)
    mid = n // 2
    if n % 2 == 1:
        return s[mid]
    else:
        return (s[mid - 1] + s[mid]) / 2",Pass
gpt-4.1,test,lab01,48,    return text == text[::-1],Pass
gpt-4.1,test,lab01,49,"    return pow(2, n, p)",Pass
gpt-4.1,test,lab01,50,"    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])",Pass
gpt-4.1,test,lab01,51,"    vowels = set('aeiouAEIOU')
    return ''.join(c for c in text if c not in vowels)
",Pass
gpt-4.1,test,lab01,52,    return all(x < t for x in l),Pass
gpt-4.1,test,lab01,53,    return x + y,Pass
gpt-4.1,test,lab01,54,    return set(s0) == set(s1),Pass
gpt-4.1,test,lab01,55,"    if n <= 0:
        raise ValueError(""n must be a positive integer"")
    elif n == 1 or n == 2:
        return 1
    a, b = 1, 1
    for _ in range(3, n + 1):
        a, b = b, a + b
    return b",Pass
gpt-4.1,test,lab01,56,"    count = 0
    for b in brackets:
        if b == '<':
            count += 1
        elif b == '>':
            count -= 1
            if count < 0:
                return False
    return count == 0
",Pass
gpt-4.1,test,lab01,57,"    if not l or len(l) < 2:
        return True
    increasing = all(l[i] <= l[i+1] for i in range(len(l)-1))
    decreasing = all(l[i] >= l[i+1] for i in range(len(l)-1))
    return increasing or decreasing
",Pass
gpt-4.1,test,lab01,58,    return sorted(set(l1) & set(l2)),Pass
gpt-4.1,test,lab01,59,"```python
    i = 2
    while i * i <= n:
        if n % i == 0:
            n //= i
        else:
            i += 1
    return n
```",Pass
gpt-4.1,test,lab01,60,    return n * (n + 1) // 2,Pass
gpt-4.1,test,lab01,61,"    count = 0
    for ch in brackets:
        if ch == '(':
            count += 1
        elif ch == ')':
            count -= 1
            if count < 0:
                return False
    return count == 0
",Pass
gpt-4.1,test,lab01,62,"    return [i * xs[i] for i in range(1, len(xs))]",Pass
gpt-4.1,test,lab01,63,"```python
    if n == 0 or n == 1:
        return 0
    if n == 2:
        return 1
    a, b, c = 0, 0, 1
    for _ in range(3, n + 1):
        a, b, c = b, c, a + b + c
    return c
```",Pass
gpt-4.1,test,lab01,64,"    s_lower = s.lower()
    count = 0
    vowels = set('aeiou')
    for i, ch in enumerate(s_lower):
        if ch in vowels:
            count += 1
        elif ch == 'y' and i == len(s_lower) - 1:
            count += 1
    return count
",Pass
gpt-4.1,test,lab01,65,"    s = str(x)
    n = len(s)
    if shift > n:
        return s[::-1]
    shift = shift % n
    if shift == 0:
        return s
    return s[-shift:] + s[:-shift]
",Pass
gpt-4.1,test,lab01,66,    return sum(ord(c) for c in s if c.isupper()),Pass
gpt-4.1,test,lab01,67,"    import re
    numbers = re.findall(r'\d+', s)
    apples = int(numbers[0])
    oranges = int(numbers[1])
    return n - apples - oranges",Pass
gpt-4.1,test,lab01,68,"    min_even = None
    min_index = -1
    for idx, val in enumerate(arr):
        if val % 2 == 0:
            if min_even is None or val < min_even:
                min_even = val
                min_index = idx
    if min_even is None:
        return []
    return [min_even, min_index]",Pass
gpt-4.1,test,lab01,69,"    from collections import Counter
    freq = Counter(lst)
    result = -1
    for num in freq:
        if num > 0 and freq[num] >= num:
            result = max(result, num)
    return result
",Pass
gpt-4.1,test,lab01,70,"    result = []
    arr = lst[:]
    while arr:
        arr.sort()
        if arr:
            result.append(arr.pop(0))
        if arr:
            result.append(arr.pop(-1))
    return result
",Pass
gpt-4.1,test,lab01,71,"    sides = sorted([a, b, c])
    if sides[0] + sides[1] <= sides[2]:
        return -1
    s = (a + b + c) / 2
    area = (s * (s - a) * (s - b) * (s - c)) ** 0.5
    return round(area, 2)
",Pass
gpt-4.1,test,lab01,72,    return q == q[::-1] and sum(q) <= w,Pass
gpt-4.1,test,lab01,73,"    changes = 0
    n = len(arr)
    for i in range(n // 2):
        if arr[i] != arr[n - 1 - i]:
            changes += 1
    return changes
",Pass
gpt-4.1,test,lab01,74,"    sum1 = sum(len(s) for s in lst1)
    sum2 = sum(len(s) for s in lst2)
    if sum1 <= sum2:
        return lst1
    else:
        return lst2
",Pass
gpt-4.1,test,lab01,75,"```python
    from math import isqrt

    def is_prime(n):
        if n < 2:
            return False
        for i in range(2, isqrt(n) + 1):
            if n % i == 0:
                return False
        return True

    primes = [i for i in range(2, a) if is_prime(i)]

    # use combinations with replacement since primes can repeat
    from itertools import combinations_with_replacement

    for p1, p2, p3 in combinations_with_replacement(primes, 3):
        if p1 * p2 * p3 == a:
            return True
    return False
```",Pass
gpt-4.1,test,lab01,76,"    if n <= 1:
        return x == 1 if n == 1 else False
    if x < 1:
        return False
    curr = 1
    while curr < x:
        curr *= n
    return curr == x
",Pass
gpt-4.1,test,lab01,77,"    if a == 0:
        return True
    abs_a = abs(a)
    c = round(abs_a ** (1/3))
    if c ** 3 != abs_a:
        return False
    if a > 0:
        return True
    else:
        return (-c) ** 3 == a",Pass
gpt-4.1,test,lab01,78,"    prime_hex_digits = {'2', '3', '5', '7', 'B', 'D'}
    return sum(1 for ch in num if ch in prime_hex_digits)
",Pass
gpt-4.1,test,lab01,79,"    binary_str = bin(decimal)[2:]
    return ""db"" + binary_str + ""db""
",Pass
gpt-4.1,test,lab01,80,"    if len(s) < 3:
        return False
    for i in range(len(s) - 2):
        if len(set(s[i:i+3])) != 3:
            return False
    return True
",Pass
gpt-4.1,test,lab01,81,"    letter_grades = []
    for gpa in grades:
        if gpa == 4.0:
            letter = 'A+'
        elif gpa > 3.7:
            letter = 'A'
        elif gpa > 3.3:
            letter = 'A-'
        elif gpa > 3.0:
            letter = 'B+'
        elif gpa > 2.7:
            letter = 'B'
        elif gpa > 2.3:
            letter = 'B-'
        elif gpa > 2.0:
            letter = 'C+'
        elif gpa > 1.7:
            letter = 'C'
        elif gpa > 1.3:
            letter = 'C-'
        elif gpa > 1.0:
            letter = 'D+'
        elif gpa > 0.7:
            letter = 'D'
        elif gpa > 0.0:
            letter = 'D-'
        else:  # gpa == 0.0
            letter = 'E'
        letter_grades.append(letter)
    return letter_grades
",Pass
gpt-4.1,test,lab01,82,"    def is_prime(n):
        if n < 2:
            return False
        if n == 2:
            return True
        if n % 2 == 0:
            return False
        for i in range(3, int(n ** 0.5) + 1, 2):
            if n % i == 0:
                return False
        return True

    return is_prime(len(string))
",Pass
gpt-4.1,test,lab01,83,"    if n == 1:
        return 1  # Only number is '1'
    # Numbers that start with 1: 10^{n-1} to 2*10^{n-1}-1 => 10^{n-1} numbers
    count_start = 10 ** (n - 1)
    # Numbers that end with 1: For each k in [10^{n-1}, 10^n), if last digit is 1, that's every step of 10
    count_end = 10 ** (n - 1)
    # Numbers that both start and end with 1: '1...1' (n digits, first and last digit 1)
    count_both = 10 ** (n - 2) if n > 1 else 1
    return count_start + count_end - count_both
","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp_vngx1kx.py"", line 32, in <module>
    check(starts_one_ends)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp_vngx1kx.py"", line 23, in check
    assert candidate(2) == 18
           ^^^^^^^^^^^^^^^^^^
AssertionError
"
gpt-4.1,test,lab01,84,"    digit_sum = sum(int(d) for d in str(N))
    return bin(digit_sum)[2:]",Pass
gpt-4.1,test,lab01,85,"    return sum(lst[i] for i in range(1, len(lst), 2) if lst[i] % 2 == 0)",Pass
gpt-4.1,test,lab01,86,    return ' '.join(''.join(sorted(word)) for word in s.split(' ')),Pass
gpt-4.1,test,lab01,87,"    coords = []
    for row_idx, row in enumerate(lst):
        found = [(row_idx, col_idx) for col_idx, val in enumerate(row) if val == x]
        found.sort(key=lambda t: -t[1])
        coords.extend(found)
    return coords",Pass
gpt-4.1,test,lab01,88,"    if not array:
        return []
    first = array[0]
    last = array[-1]
    if (first + last) % 2 == 0:
        return sorted(array, reverse=True)
    else:
        return sorted(array)",Pass
gpt-4.1,test,lab01,89,"    result = []
    shift = 4  # 2*2 places

    for c in s:
        if c.isalpha() and c.islower():
            # Find position in alphabet (0-25)
            idx = ord(c) - ord('a')
            # Shift by 4, wrap around
            new_idx = (idx + shift) % 26
            result.append(chr(ord('a') + new_idx))
        else:
            result.append(c)
    return ''.join(result)
",Pass
gpt-4.1,test,lab01,90,"    unique = sorted(set(lst))
    if len(unique) < 2:
        return None
    return unique[1]
",Pass
gpt-4.1,test,lab01,91,"    import re
    sentences = re.split(r'[.?!]', S)
    count = 0
    for sentence in sentences:
        sentence = sentence.lstrip()
        if sentence.startswith('I ' ) or sentence == 'I':
            count += 1
    return count
",Pass
gpt-4.1,test,lab01,92,"    if not all(isinstance(i, int) for i in (x, y, z)):
        return False
    return x == y + z or y == x + z or z == x + y",Pass
gpt-4.1,test,lab01,93,"    vowels = 'aeiouAEIOU'
    vowel_map = {
        'a': 'c', 'A': 'C',
        'e': 'g', 'E': 'G',
        'i': 'k', 'I': 'K',
        'o': 'q', 'O': 'Q',
        'u': 'w', 'U': 'W'
    }
    result = []
    for char in message:
        if char in vowels:
            # replace vowel and swap case
            result.append(vowel_map[char].swapcase())
        elif char.isalpha():
            result.append(char.swapcase())
        else:
            result.append(char)
    return ''.join(result)
",Pass
gpt-4.1,test,lab01,94,"```python
    def is_prime(n):
        if n < 2:
            return False
        if n == 2:
            return True
        if n % 2 == 0:
            return False
        for i in range(3, int(n ** 0.5) + 1, 2):
            if n % i == 0:
                return False
        return True

    primes = [x for x in lst if is_prime(x)]
    if not primes:
        return 0
    largest = max(primes)
    return sum(int(d) for d in str(largest))
```",Pass
gpt-4.1,test,lab01,95,"    if not dict:
        return False
    keys = list(dict.keys())
    if not all(isinstance(k, str) for k in keys):
        return False
    all_lower = all(k.islower() for k in keys)
    all_upper = all(k.isupper() for k in keys)
    return all_lower or all_upper",Pass
gpt-4.1,test,lab01,96,"    def is_prime(k):
        if k < 2:
            return False
        if k == 2:
            return True
        if k % 2 == 0:
            return False
        i = 3
        while i * i <= k:
            if k % i == 0:
                return False
            i += 2
        return True

    return [x for x in range(2, n) if is_prime(x)]
",Pass
gpt-4.1,test,lab01,97,    return abs(a % 10) * abs(b % 10),Pass
gpt-4.1,test,lab01,98,"    count = 0
    vowels = {'A', 'E', 'I', 'O', 'U'}
    for i in range(0, len(s), 2):
        if s[i] in vowels:
            count += 1
    return count
",Pass
gpt-4.1,test,lab01,99,"    num = float(value)
    int_part = int(num)
    frac = abs(num - int_part)
    if frac != 0.5:
        return round(num)
    else:
        # Equidistant: round away from zero
        if num > 0:
            return int_part + 1
        else:
            return int_part - 1
",Pass
gpt-4.1,test,lab01,100,"    pile = []
    current = n
    for _ in range(n):
        pile.append(current)
        if n % 2 == 0:
            current += 2
        else:
            current += 2
    return pile",Pass
gpt-4.1,test,lab01,101,"    import re
    return [w for w in re.split(r'[ ,]+', s.strip()) if w]",Pass
gpt-4.1,test,lab01,102,"    if x > y:
        return -1
    # Start from y and look for the biggest even number >= x
    for val in range(y, x - 1, -1):
        if val % 2 == 0:
            return val
    return -1",Pass
gpt-4.1,test,lab01,103,"    if n > m:
        return -1
    total = (m - n + 1)
    summation = (n + m) * total // 2
    avg = summation / total
    rounded = int(round(avg))
    return bin(rounded)",Pass
gpt-4.1,test,lab01,104,"    result = []
    for num in x:
        digits = str(num)
        if all(int(d) % 2 == 1 for d in digits):
            result.append(num)
    return sorted(result)",Pass
gpt-4.1,test,lab01,105,"    names = [""Zero"", ""One"", ""Two"", ""Three"", ""Four"", ""Five"", ""Six"", ""Seven"", ""Eight"", ""Nine""]
    nums = [x for x in arr if 1 <= x <= 9]
    nums.sort()
    nums = nums[::-1]
    return [names[x] for x in nums]",Pass
gpt-4.1,test,lab01,106,"    res = []
    for i in range(1, n+1):
        if i % 2 == 0:  # even i
            fact = 1
            for j in range(1, i+1):
                fact *= j
            res.append(fact)
        else:  # odd i
            res.append(sum(range(1, i+1)))
    return res",Pass
gpt-4.1,test,lab01,107,"    even_count = 0
    odd_count = 0
    for i in range(1, n + 1):
        if str(i) == str(i)[::-1]:
            if i % 2 == 0:
                even_count += 1
            else:
                odd_count += 1
    return (even_count, odd_count)
",Pass
gpt-4.1,test,lab01,108,"    def signed_digit_sum(n):
        s = str(n)
        if s[0] == '-':
            # first digit is negative
            digits = [int('-' + s[1])]
            digits += [int(c) for c in s[2:]]
        else:
            digits = [int(c) for c in s]
        return sum(digits)

    return sum(1 for num in arr if signed_digit_sum(num) > 0)
",Pass
gpt-4.1,test,lab01,109,"```python
    if not arr:
        return True
    n = len(arr)
    count = 0
    for i in range(n):
        if arr[i] > arr[(i + 1) % n]:
            count += 1
            if count > 1:
                return False
    return True
```",Pass
gpt-4.1,test,lab01,110,"    odd_in_lst1 = [x for x in lst1 if x % 2 == 1]
    even_in_lst2 = [x for x in lst2 if x % 2 == 0]
    if len(odd_in_lst1) <= len(even_in_lst2):
        return ""YES""
    else:
        return ""NO""
",Pass
gpt-4.1,test,lab01,111,"    if not test.strip():
        return {}
    from collections import Counter
    letters = test.split()
    counts = Counter(letters)
    if not counts:
        return {}
    max_count = max(counts.values())
    return {k: v for k, v in counts.items() if v == max_count}
",Pass
gpt-4.1,test,lab01,112,"    chars_to_delete = set(c)
    result = ''.join(ch for ch in s if ch not in chars_to_delete)
    return (result, result == result[::-1])
",Pass
gpt-4.1,test,lab01,113,"    res = []
    for s in lst:
        odd_count = sum(1 for ch in s if int(ch) % 2 == 1)
        template = ""the number of odd elements {}n the str{}ng {} of the {}nput.""
        filled = template.format(odd_count, odd_count, odd_count, odd_count)
        res.append(filled)
    return res
",Pass
gpt-4.1,test,lab01,114,"    min_sum = cur_sum = nums[0]
    for num in nums[1:]:
        cur_sum = min(num, cur_sum + num)
        min_sum = min(min_sum, cur_sum)
    return min_sum
",Pass
gpt-4.1,test,lab01,115,"    total_uses = 0
    for row in grid:
        water_units = sum(row)
        if water_units > 0:
            total_uses += math.ceil(water_units / capacity)
    return total_uses",Pass
gpt-4.1,test,lab01,116,"    return sorted(arr, key=lambda x: (bin(x & 0xffffffff).count('1'), x))","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpi6oap7yo.py"", line 32, in <module>
    check(sort_array)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpi6oap7yo.py"", line 20, in check
    assert candidate([-2,-3,-4,-5,-6]) == [-4, -2, -6, -5, -3]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
gpt-4.1,test,lab01,117,"    vowels = set('aeiouAEIOU')
    res = []
    if not s:
        return res
    for word in s.split():
        consonant_count = sum(1 for c in word if c.isalpha() and c not in vowels)
        if consonant_count == n:
            res.append(word)
    return res
",Pass
gpt-4.1,test,lab01,118,"    vowels = 'aeiouAEIOU'
    for i in range(len(word) - 2, 0, -1):
        if (word[i] in vowels and
            word[i-1] not in vowels and word[i+1] not in vowels):
            return word[i]
    return """"",Pass
gpt-4.1,test,lab01,119,"    s1, s2 = lst
    def is_good(s):
        bal = 0
        for c in s:
            if c == '(':
                bal += 1
            else:
                bal -= 1
            if bal < 0:
                return False
        return bal == 0
    if is_good(s1 + s2) or is_good(s2 + s1):
        return 'Yes'
    return 'No'
",Pass
gpt-4.1,test,lab01,120,"    if k == 0:
        return []
    return sorted(sorted(arr, reverse=True)[:k])",Pass
gpt-4.1,test,lab01,121,"    return sum(x for i, x in enumerate(lst) if i % 2 == 0 and x % 2 == 1)",Pass
gpt-4.1,test,lab01,122,    return sum(x for x in arr[:k] if -99 < x < 100),Pass
gpt-4.1,test,lab01,123,"    odd_numbers = set()
    current = n
    while True:
        if current % 2 == 1:
            odd_numbers.add(current)
        if current == 1:
            break
        if current % 2 == 0:
            current //= 2
        else:
            current = 3 * current + 1
    return sorted(odd_numbers)",Pass
gpt-4.1,test,lab01,124,"    if not isinstance(date, str) or not date:
        return False
    parts = date.split('-')
    if len(parts) != 3:
        return False
    mm, dd, yyyy = parts
    if not (mm.isdigit() and dd.isdigit() and yyyy.isdigit()):
        return False
    if len(mm) != 2 or len(dd) != 2 or len(yyyy) != 4:
        return False
    month = int(mm)
    day = int(dd)
    year = int(yyyy)
    if not (1 <= month <= 12):
        return False
    if month in {1,3,5,7,8,10,12}:
        return 1 <= day <= 31
    elif month in {4,6,9,11}:
        return 1 <= day <= 30
    elif month == 2:
        return 1 <= day <= 29
    return False
",Pass
gpt-4.1,test,lab01,125,"    if any(c.isspace() for c in txt):
        return txt.split()
    elif ',' in txt:
        return txt.split(',')
    else:
        return sum(1 for c in txt if c.islower() and (ord(c) - ord('a')) % 2 == 1)",Pass
gpt-4.1,test,lab01,126,"    from collections import Counter
    if len(lst) <= 1:
        return True
    counts = Counter(lst)
    if any(v > 2 for v in counts.values()):
        return False
    for i in range(len(lst)-1):
        if lst[i] > lst[i+1]:
            return False
    return True",Pass
gpt-4.1,test,lab01,127,"    def is_prime(n):
        if n < 2:
            return False
        if n == 2:
            return True
        if n % 2 == 0:
            return False
        for i in range(3, int(n**0.5)+1, 2):
            if n % i == 0:
                return False
        return True

    start1, end1 = interval1
    start2, end2 = interval2
    left = max(start1, start2)
    right = min(end1, end2)
    if left > right:
        return ""NO""
    length = right - left
    if is_prime(length):
        return ""YES""
    else:
        return ""NO""
",Pass
gpt-4.1,test,lab01,128,"    if not arr:
        return None
    sign_prod = 1
    mag_sum = 0
    for num in arr:
        if num == 0:
            sign_prod = 0
        elif sign_prod != 0:
            sign_prod *= 1 if num > 0 else -1
        mag_sum += abs(num)
    return sign_prod * mag_sum",Pass
gpt-4.1,test,lab01,129,"    import heapq

    N = len(grid)
    dirs = [(-1,0), (1,0), (0,-1), (0,1)]

    # Find all positions with their values
    min_val = float('inf')
    start_cells = []
    for i in range(N):
        for j in range(N):
            val = grid[i][j]
            if val < min_val:
                min_val = val
                start_cells = [(i, j)]
            elif val == min_val:
                start_cells.append((i, j))

    # Dijkstra / BFS with priority queue
    # state: (path_list as tuple, i, j, steps)
    heap = []
    visited = dict()  # (i,j,steps)->path_tuple

    for i, j in start_cells:
        tup = (grid[i][j],)
        heapq.heappush(heap, (tup, i, j, 1))
        visited[(i, j, 1)] = tup

    while heap:
        path, x, y, steps = heapq.heappop(heap)
        if steps == k:
            return list(path)
        for dx, dy in dirs:
            nx, ny = x + dx, y + dy
            if 0 <= nx < N and 0 <= ny < N:
                new_path = path + (grid[nx][ny],)
                key = (nx, ny, steps + 1)
                if key not in visited or new_path < visited[key]:
                    visited[key] = new_path
                    heapq.heappush(heap, (new_path, nx, ny, steps + 1))
",Pass
