,model,set,lab,pass@1,series
91,gpt-4o-2024-11-20,interfered,lab02,0.9207317073170732,gpt-4o
92,gpt-4o-2024-11-20,interfered,lab03,0.926829268292683,gpt-4o
93,gpt-4o-2024-11-20,renamed,lab01,0.8963414634146342,gpt-4o
94,gpt-4o-2024-11-20,renamed,lab02,0.8963414634146342,gpt-4o
95,gpt-4o-2024-11-20,renamed,lab03,0.8963414634146342,gpt-4o
96,gpt-4o-2024-11-20,test,lab01,0.8780487804878049,gpt-4o
97,gpt-4o-2024-11-20,test,lab02,0.9024390243902439,gpt-4o
98,gpt-4o-2024-11-20,test,lab03,0.9207317073170732,gpt-4o
99,gpt-4o-mini,interfered,lab01,0.8536585365853658,gpt-4o
100,gpt-4o-mini,interfered,lab02,0.8658536585365854,gpt-4o
101,gpt-4o-mini,interfered,lab03,0.8597560975609756,gpt-4o
102,gpt-4o-mini,renamed,lab01,0.8292682926829268,gpt-4o
103,gpt-4o-mini,renamed,lab02,0.823170731707317,gpt-4o
104,gpt-4o-mini,renamed,lab03,0.8170731707317073,gpt-4o
105,gpt-4o-mini,test,lab01,0.8780487804878049,gpt-4o
106,gpt-4o-mini,test,lab02,0.8780487804878049,gpt-4o
107,gpt-4o-mini,test,lab03,0.8719512195121951,gpt-4o
108,llama-3.1-8b-instruct,interfered,lab01,0.573170731707317,llama-3
109,llama-3.1-8b-instruct,interfered,lab02,0.5121951219512195,llama-3
110,llama-3.1-8b-instruct,interfered,lab03,0.5365853658536586,llama-3
111,llama-3.1-8b-instruct,renamed,lab01,0.4634146341463415,llama-3
112,llama-3.1-8b-instruct,renamed,lab02,0.5304878048780488,llama-3
113,llama-3.1-8b-instruct,renamed,lab03,0.5182926829268293,llama-3
114,llama-3.1-8b-instruct,test,lab01,0.6097560975609756,llama-3
115,llama-3.1-8b-instruct,test,lab02,0.5487804878048781,llama-3
116,llama-3.1-8b-instruct,test,lab03,0.5609756097560976,llama-3
117,llama-3.2-1b-instruct,interfered,lab01,0.25609756097560976,llama-3
118,llama-3.2-1b-instruct,interfered,lab02,0.24390243902439024,llama-3
119,llama-3.2-1b-instruct,interfered,lab03,0.18902439024390244,llama-3
120,llama-3.2-1b-instruct,renamed,lab01,0.17073170731707318,llama-3
121,llama-3.2-1b-instruct,renamed,lab02,0.10975609756097561,llama-3
122,llama-3.2-1b-instruct,renamed,lab03,0.15853658536585366,llama-3
123,llama-3.2-1b-instruct,test,lab01,0.21951219512195122,llama-3
124,llama-3.2-1b-instruct,test,lab02,0.25,llama-3
125,llama-3.2-1b-instruct,test,lab03,0.20121951219512196,llama-3
126,llama-3.2-3b-instruct,interfered,lab01,0.36585365853658536,llama-3
127,llama-3.2-3b-instruct,interfered,lab02,0.3170731707317073,llama-3
128,llama-3.2-3b-instruct,interfered,lab03,0.0,llama-3
129,llama-3.2-3b-instruct,renamed,lab01,0.4146341463414634,llama-3
130,llama-3.2-3b-instruct,renamed,lab02,0.36585365853658536,llama-3
131,llama-3.2-3b-instruct,renamed,lab03,0.27439024390243905,llama-3
132,llama-3.2-3b-instruct,test,lab01,0.4268292682926829,llama-3
133,llama-3.2-3b-instruct,test,lab02,0.39634146341463417,llama-3
134,llama-3.2-3b-instruct,test,lab03,0.32926829268292684,llama-3
135,llama-3.3-70b-instruct,interfered,lab01,0.5609756097560976,llama-3
136,llama-3.3-70b-instruct,interfered,lab02,0.5182926829268293,llama-3
137,llama-3.3-70b-instruct,interfered,lab03,0.6341463414634146,llama-3
138,llama-3.3-70b-instruct,renamed,lab01,0.6280487804878049,llama-3
139,llama-3.3-70b-instruct,renamed,lab02,0.6219512195121951,llama-3
140,llama-3.3-70b-instruct,renamed,lab03,0.6402439024390244,llama-3
141,llama-3.3-70b-instruct,test,lab01,0.7012195121951219,llama-3
142,llama-3.3-70b-instruct,test,lab02,0.5670731707317073,llama-3
143,llama-3.3-70b-instruct,test,lab03,0.5487804878048781,llama-3
144,llama-4-maverick,interfered,lab01,0.3170731707317073,llama-4
145,llama-4-maverick,interfered,lab02,0.36585365853658536,llama-4
146,llama-4-maverick,interfered,lab03,0.35365853658536583,llama-4
147,llama-4-maverick,renamed,lab01,0.45121951219512196,llama-4
148,llama-4-maverick,renamed,lab02,0.43902439024390244,llama-4
149,llama-4-maverick,renamed,lab03,0.43902439024390244,llama-4
150,llama-4-maverick,test,lab01,0.7804878048780488,llama-4
151,llama-4-maverick,test,lab02,0.4146341463414634,llama-4
152,llama-4-maverick,test,lab03,0.4024390243902439,llama-4
153,llama-4-scout,interfered,lab01,0.7378048780487805,llama-4
154,llama-4-scout,interfered,lab02,0.7439024390243902,llama-4
155,llama-4-scout,interfered,lab03,0.75,llama-4
156,llama-4-scout,renamed,lab01,0.6585365853658537,llama-4
157,llama-4-scout,renamed,lab02,0.7073170731707317,llama-4
158,llama-4-scout,renamed,lab03,0.6829268292682927,llama-4
159,llama-4-scout,test,lab01,0.7560975609756098,llama-4
160,llama-4-scout,test,lab02,0.8109756097560976,llama-4
161,llama-4-scout,test,lab03,0.7621951219512195,llama-4
162,qwen3-1.7b,interfered,lab01,0.6585365853658537,qwen3
163,qwen3-1.7b,interfered,lab02,0.6524390243902439,qwen3
164,qwen3-1.7b,interfered,lab03,0.6585365853658537,qwen3
165,qwen3-1.7b,renamed,lab01,0.6280487804878049,qwen3
166,qwen3-1.7b,renamed,lab02,0.5975609756097561,qwen3
167,qwen3-1.7b,renamed,lab03,0.6280487804878049,qwen3
168,qwen3-1.7b,test,lab01,0.6646341463414634,qwen3
169,qwen3-1.7b,test,lab02,0.6097560975609756,qwen3
170,qwen3-1.7b,test,lab03,0.6646341463414634,qwen3
171,qwen3-30b-a3b,interfered,lab01,0.8841463414634146,qwen3
172,qwen3-30b-a3b,interfered,lab02,0.9024390243902439,qwen3
173,qwen3-30b-a3b,interfered,lab03,0.8719512195121951,qwen3
174,qwen3-30b-a3b,renamed,lab01,0.8475609756097561,qwen3
175,qwen3-30b-a3b,renamed,lab02,0.8597560975609756,qwen3
176,qwen3-30b-a3b,renamed,lab03,0.8658536585365854,qwen3
177,qwen3-30b-a3b,test,lab01,0.8414634146341463,qwen3
178,qwen3-30b-a3b,test,lab02,0.8475609756097561,qwen3
179,qwen3-30b-a3b,test,lab03,0.8475609756097561,qwen3
180,qwen3-32b,interfered,lab01,0.8475609756097561,qwen3
181,qwen3-32b,interfered,lab02,0.8475609756097561,qwen3
182,qwen3-32b,interfered,lab03,0.8475609756097561,qwen3
183,qwen3-32b,renamed,lab01,0.8048780487804879,qwen3
184,qwen3-32b,renamed,lab02,0.823170731707317,qwen3
185,qwen3-32b,renamed,lab03,0.7987804878048781,qwen3
186,qwen3-32b,test,lab01,0.8780487804878049,qwen3
187,qwen3-32b,test,lab02,0.8719512195121951,qwen3
188,qwen3-32b,test,lab03,0.8658536585365854,qwen3
189,qwen3-8b,interfered,lab01,0.774390243902439,qwen3
190,qwen3-8b,interfered,lab02,0.7926829268292683,qwen3
191,qwen3-8b,interfered,lab03,0.75,qwen3
192,qwen3-8b,renamed,lab01,0.8170731707317073,qwen3
193,qwen3-8b,renamed,lab02,0.7804878048780488,qwen3
194,qwen3-8b,renamed,lab03,0.7865853658536586,qwen3
195,qwen3-8b,test,lab01,0.7804878048780488,qwen3
196,qwen3-8b,test,lab02,0.774390243902439,qwen3
197,qwen3-8b,test,lab03,0.7926829268292683,qwen3
